TIME 5073: START job worker increment 5; increment 5; increment 5;repeat 30; increment 2; increment 0;
TIME 5285: END job worker increment 5; increment 5; increment 5;repeat 30; increment 2; increment 0;
TIME 5285: START job worker decrement 11; decrement 11; increment 11
TIME 5382: END job worker decrement 11; decrement 11; increment 11
TIME 5382: START job worker decrement 7; decrement 7; incremt 7
TIME 5443: END job worker decrement 7; decrement 7; incremt 7
TIME 5443: START job worker decrement 11; decrement 11; increment 11
TIME 5958: END job worker decrement 11; decrement 11; increment 11
TIME 5958: START job worker decrement 10; decrement 10; increment 10
TIME 6083: END job worker decrement 10; decrement 10; increment 10
TIME 6083: START job worker decrement 17; decrement 16; increment 18
TIME 6326: END job worker decrement 17; decrement 16; increment 18
TIME 6326: START job worker decrement 17; decrement 17; increment 18
TIME 6597: END job worker decrement 17; decrement 17; increment 18
TIME 6597: START job worker decrement 17; decrement 16; increment 18
TIME 7527: END job worker decrement 17; decrement 16; increment 18
TIME 7527: START job worker decrement 14; decrement 14; increment 14
TIME 7863: END job worker decrement 14; decrement 14; increment 14
TIME 7863: START job worker decrement 15; decrement 15; increment 15
TIME 7896: END job worker decrement 15; decrement 15; increment 15
TIME 7896: START job worker decrement 8; decrement 8; increment 8
TIME 8834: END job worker decrement 8; decrement 8; increment 8
