TIME 5089: START job worker decrement 7; decrement 7; incremt 7
TIME 5186: END job worker decrement 7; decrement 7; incremt 7
TIME 5186: START job worker decrement 6; decrement 6; increment 6
TIME 5797: END job worker decrement 6; decrement 6; increment 6
TIME 5797: START job worker decrement 7; decrement 7; incremt 7
TIME 6050: END job worker decrement 7; decrement 7; incremt 7
TIME 6050: START job worker decrement 9; decrement 6; increment 7
TIME 6436: END job worker decrement 9; decrement 6; increment 7
TIME 6436: START job worker decrement 10; decrement 10; increment 10
TIME 6438: END job worker decrement 10; decrement 10; increment 10
TIME 6438: START job worker decrement 8; decrement 8; increment 8
TIME 6775: END job worker decrement 8; decrement 8; increment 8
TIME 6775: START job worker decrement 7; decrement 7; incremt 7
TIME 6796: END job worker decrement 7; decrement 7; incremt 7
TIME 6796: START job worker decrement 6; decrement 6; increment 6
TIME 7910: END job worker decrement 6; decrement 6; increment 6
TIME 7910: START job worker decrement 17; decrement 16; increment 18
TIME 8501: END job worker decrement 17; decrement 16; increment 18
