TIME 5058: START job worker increment 4; increment 4; increment 4; increment 4;
TIME 5518: END job worker increment 4; increment 4; increment 4; increment 4;
TIME 5518: START job worker decrement 12; decrement 12; increment 12
TIME 5525: END job worker decrement 12; decrement 12; increment 12
TIME 5525: START job worker decrement 7; decrement 7; incremt 7
TIME 5649: END job worker decrement 7; decrement 7; incremt 7
TIME 5649: START job worker increment 4; increment 4; increment 4; increment 4;
TIME 5658: END job worker increment 4; increment 4; increment 4; increment 4;
TIME 5658: START job worker decrement 8; decrement 8; increment 8
TIME 5687: END job worker decrement 8; decrement 8; increment 8
TIME 5687: START job worker decrement 11; decrement 11; increment 11
TIME 6108: END job worker decrement 11; decrement 11; increment 11
TIME 6108: START job worker decrement 13; decrement 13; increment 13
TIME 6361: END job worker decrement 13; decrement 13; increment 13
TIME 6361: START job worker decrement 6; decrement 6; increment 6
TIME 6462: END job worker decrement 6; decrement 6; increment 6
TIME 6462: START job worker decrement 12; decrement 12; increment 12
TIME 6768: END job worker decrement 12; decrement 12; increment 12
TIME 6768: START job worker decrement 14; decrement 14; increment 14
TIME 6770: END job worker decrement 14; decrement 14; increment 14
TIME 6770: START job worker decrement 12; decrement 12; increment 12
TIME 6773: END job worker decrement 12; decrement 12; increment 12
TIME 6773: START job worker decrement 10; decrement 10; increment 10
TIME 8427: END job worker decrement 10; decrement 10; increment 10
TIME 8427: START job worker decrement 17; decrement 16; increment 18
TIME 8706: END job worker decrement 17; decrement 16; increment 18
