TIME 5058: START job worker increment 1;
TIME 5073: END job worker increment 1;
TIME 5073: START job worker decrement 14; decrement 14; increment 14
TIME 5144: END job worker decrement 14; decrement 14; increment 14
TIME 5144: START job worker decrement 11; decrement 11; increment 11
TIME 5380: END job worker decrement 11; decrement 11; increment 11
TIME 5380: START job worker decrement 10; decrement 10; increment 10
TIME 5546: END job worker decrement 10; decrement 10; increment 10
TIME 5546: START job worker repeat 200; increment 3;
TIME 5645: END job worker repeat 200; increment 3;
TIME 5645: START job worker decrement 17; decrement 16; increment 18
TIME 5985: END job worker decrement 17; decrement 16; increment 18
TIME 5985: START job worker decrement 13; decrement 13; increment 13
TIME 6248: END job worker decrement 13; decrement 13; increment 13
TIME 6248: START job worker decrement 17; decrement 16; increment 18
TIME 7385: END job worker decrement 17; decrement 16; increment 18
TIME 7385: START job worker repeat 100; increment 3;
TIME 7828: END job worker repeat 100; increment 3;
TIME 7828: START job worker repeat 100; increment 3;
TIME 7835: END job worker repeat 100; increment 3;
TIME 7835: START job worker decrement 17; decrement 17; increment 18
TIME 7850: END job worker decrement 17; decrement 17; increment 18
TIME 7850: START job worker repeat 200; increment 3;
TIME 7868: END job worker repeat 200; increment 3;
TIME 7868: START job worker decrement 10; decrement 10; increment 10
TIME 8312: END job worker decrement 10; decrement 10; increment 10
TIME 8312: START job worker decrement 17; decrement 16; increment 18
TIME 8625: END job worker decrement 17; decrement 16; increment 18
