TIME 5072: START job worker decrement 17; decrement 16; increment 18
TIME 5709: END job worker decrement 17; decrement 16; increment 18
TIME 5709: START job worker increment 4; increment 4; increment 4; increment 4;
TIME 5839: END job worker increment 4; increment 4; increment 4; increment 4;
TIME 5839: START job worker decrement 10; decrement 10; increment 10
TIME 5952: END job worker decrement 10; decrement 10; increment 10
TIME 5952: START job worker decrement 17; decrement 16; increment 18
TIME 6050: END job worker decrement 17; decrement 16; increment 18
TIME 6050: START job worker decrement 7; decrement 7; incremt 7
TIME 6270: END job worker decrement 7; decrement 7; incremt 7
TIME 6270: START job worker decrement 7; decrement 7; incremt 7
TIME 6280: END job worker decrement 7; decrement 7; incremt 7
TIME 6280: START job worker decrement 17; decrement 17; increment 18
TIME 6583: END job worker decrement 17; decrement 17; increment 18
TIME 6583: START job worker decrement 17; decrement 17; increment 18
TIME 6764: END job worker decrement 17; decrement 17; increment 18
TIME 6764: START job worker repeat 200; increment 3;
TIME 6765: END job worker repeat 200; increment 3;
TIME 6765: START job worker repeat 100; increment 3;
TIME 6766: END job worker repeat 100; increment 3;
TIME 6766: START job worker decrement 17; decrement 17; increment 18
TIME 6963: END job worker decrement 17; decrement 17; increment 18
TIME 6963: START job worker decrement 17; decrement 16; increment 18
TIME 7527: END job worker decrement 17; decrement 16; increment 18
TIME 7527: START job worker decrement 12; decrement 12; increment 12
TIME 7719: END job worker decrement 12; decrement 12; increment 12
TIME 7719: START job worker decrement 9; decrement 6; increment 7
TIME 8099: END job worker decrement 9; decrement 6; increment 7
TIME 8099: START job worker decrement 8; decrement 8; increment 8
TIME 8770: END job worker decrement 8; decrement 8; increment 8
