TIME 5073: START job worker decrement 19; decrement 19; increment 19; increment 18; repeat 10; decrement 19; decrement 19
TIME 5388: END job worker decrement 19; decrement 19; increment 19; increment 18; repeat 10; decrement 19; decrement 19
TIME 5388: START job worker increment 5; increment 5; increment 5;repeat 30; increment 2; increment 0;
TIME 5541: END job worker increment 5; increment 5; increment 5;repeat 30; increment 2; increment 0;
TIME 5541: START job worker decrement 8; decrement 8; increment 8
TIME 5544: END job worker decrement 8; decrement 8; increment 8
TIME 5544: START job worker decrement 17; decrement 16; increment 18
TIME 5962: END job worker decrement 17; decrement 16; increment 18
TIME 5962: START job worker increment 1;
TIME 5971: END job worker increment 1;
TIME 5971: START job worker decrement 10; decrement 10; increment 10
TIME 6151: END job worker decrement 10; decrement 10; increment 10
TIME 6151: START job worker decrement 17; decrement 16; increment 18
TIME 6638: END job worker decrement 17; decrement 16; increment 18
TIME 6638: START job worker decrement 8; decrement 8; increment 8
TIME 6974: END job worker decrement 8; decrement 8; increment 8
TIME 6974: START job worker decrement 17; decrement 16; increment 18
TIME 7370: END job worker decrement 17; decrement 16; increment 18
TIME 7370: START job worker decrement 11; decrement 11; increment 11
TIME 7451: END job worker decrement 11; decrement 11; increment 11
TIME 7451: START job worker decrement 15; decrement 15; increment 15
TIME 7495: END job worker decrement 15; decrement 15; increment 15
TIME 7495: START job worker decrement 10; decrement 10; increment 10
TIME 8306: END job worker decrement 10; decrement 10; increment 10
TIME 8306: START job worker decrement 8; decrement 8; increment 8
TIME 8738: END job worker decrement 8; decrement 8; increment 8
